ID_Pregunta,Pregunta,Estado_Seguridad,Nivel_Riesgo_%,Sitios_Braindump,Accion_Sugerida,URLs_Evidencia
1,¿Cuál es un principio clave de las pruebas?,🟠 RIESGO MEDIO (Parafraseada),73%,SÍ,Reescribir fuertemente,https://translate.google.com/translate?u=https://www.examtopics.com/discussions/amazon/view/112424-exam-aws-certified-developer-associate-dva-c02-topic-1/&hl=es&sl=en&tl=es&client=srp | https://translate.google.com/translate?u=https://www.scribd.com/document/572101763/SQA-MCQs-with-ANS&hl=es&sl=en&tl=es&client=srp
2,¿Qué es la trazabilidad en el contexto de las pruebas de software?,🟡 RIESGO BAJO (Similitud parcial),58%,NO,Revisión manual sugerida,https://www.studocu.com/es-ar/quiz/resumen-testing-de-aplicaciones/8712307
3,¿Qué significa la independencia de las pruebas?,🟡 RIESGO BAJO (Similitud parcial),36%,NO,Revisión manual sugerida,Ninguna
4,¿Cuál es el impacto de DevOps en pruebas?,🟡 RIESGO BAJO (Similitud parcial),30%,NO,Revisión manual sugerida,Ninguna
5,¿Cuál de las siguientes afirmaciones sería el principal diferenciador de las pruebas de confirmación ?,🟠 RIESGO MEDIO (Parafraseada),63%,SÍ,Reescribir fuertemente,https://www.coursehero.com/es/file/66226967/Ejemplo-Ex%C3%A1men-ISTQB-2018docx/ | https://es.scribd.com/document/347790745/Simulacro-Nro-1-Istqb | https://brightest-assets.s3.amazonaws.com/media/resources/ISTQB_CTFL_Sample_Exam_-_Spanish.pdf
6,¿Qué técnica de caja negra utiliza como entrada condiciones combinadas?,🟡 RIESGO BAJO (Similitud parcial),43%,NO,Revisión manual sugerida,https://easydmarc.com/blog/es/que-son-las-pruebas-de-penetracion-de-caja-negra-caja-gris-y-caja-blanca/ | https://testingbaires.com/un-poco-de-la-tecnica-de-caja-negra/
7,¿ Que és el Desarrollo Guiado por Pruebas de Aceptación DGPA o ATDD?,🟡 RIESGO BAJO (Similitud parcial),47%,NO,Revisión manual sugerida,https://translate.google.com/translate?u=https://agilealliance.org/glossary/atdd/&hl=es&sl=en&tl=es&client=srp | https://translate.google.com/translate?u=https://en.wikipedia.org/wiki/Acceptance_test-driven_development&hl=es&sl=en&tl=es&client=srp | https://translate.google.com/translate?u=https://www.geeksforgeeks.org/software-engineering/acceptance-test-driven-development-atdd-in-software-engineering/&hl=es&sl=en&tl=es&client=srp
8,¿Qué describe mejor un informe de pruebas?,🟢 SEGURO,27%,NO,Mantener,Ninguna
9,¿En qué consiste la gestión de configuración en pruebas?,🟡 RIESGO BAJO (Similitud parcial),41%,NO,Revisión manual sugerida,https://www.iso.org/es/seguridad-informacion/gestion-de-la-configuracion | https://www.redhat.com/es/topics/automation/what-is-configuration-management
10,¿Qué información contiene un informe de defectos?,🟡 RIESGO BAJO (Similitud parcial),33%,NO,Revisión manual sugerida,Ninguna
